,precision,recall,f1-score,support
Class 0,0.0,0.0,0.0,1338.0
Class 1,0.1584065831307275,1.0,0.2734904746528899,847.0
Class 2,0.6992481203007519,0.2743362831858407,0.3940677966101695,339.0
Class 3,0.0,0.0,0.0,634.0
Class 4,0.0,0.0,0.0,1035.0
Class 5,0.0,0.0,0.0,592.0
Class 6,0.0,0.0,0.0,741.0
Class 7,0.0,0.0,0.0,421.0
Class 8,0.0,0.0,0.0,1233.0
accuracy,0.1309192200557103,0.1309192200557103,0.1309192200557103,0.1309192200557103
macro avg,0.09529496704794216,0.1415929203539823,0.07417314125145105,7180.0
weighted avg,0.05170132154508093,0.1309192200557103,0.050868442211956154,7180.0
